City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,taksimo,56.3444,114.8794,-28.68,91,90,0.88,RU,1738098927
152,sandy,40.572,-111.8606,4.04,49,0,1.79,US,1738098928
153,dunda,-8.1167,34.25,18.61,92,100,1.24,TZ,1738098929
154,pedro ii,-4.4247,-41.4586,24.17,65,42,2.08,BR,1738098930
155,fray luis a. beltran,-32.7912,-60.7282,28.32,69,100,1.02,AR,1738098931
156,telese,41.2173,14.5277,8.01,89,3,2.76,IT,1738098932
157,vorgashor,67.5833,63.95,-24.96,98,91,1.1,RU,1738098933
158,edd,13.9297,41.6925,24.71,78,0,2.35,ER,1738098934
159,veraval,20.9,70.3667,20.82,51,59,4.12,IN,1738098935
160,ashta,23.0167,76.7167,17.83,22,18,1.93,IN,1738098936
161,chegdomyn,51.1167,133.0167,-16.23,97,100,0.72,RU,1738098937
162,poronaysk,49.2167,143.1167,-4.67,88,100,9.61,RU,1738098939
163,margaret river,-33.95,115.0667,14.1,81,0,4.33,AU,1738098940
164,minas de marcona,-15.2119,-75.1103,21.46,64,89,5.05,PE,1738098941
165,sinabang,2.4803,96.3801,26.29,79,82,0.82,ID,1738098942
166,ust-nera,64.5667,143.2,-40.55,98,70,1.8,RU,1738098943
167,touros,-5.1989,-35.4608,27.2,74,13,4.77,BR,1738098944
168,crane,31.3974,-102.3501,11.29,80,100,4.59,US,1738098945
169,mananjary,-21.2167,48.3333,26.76,93,100,3.99,MG,1738098946
170,kuching,1.55,110.3333,25.69,96,40,1.54,MY,1738098887
171,natal,-5.795,-35.2094,27.36,78,40,3.6,BR,1738098948
172,hamilton,39.1834,-84.5333,8.69,46,0,5.66,US,1738098949
173,westport,41.1415,-73.3579,1.87,33,0,8.75,US,1738098950
174,barra de santo antonio,-9.4047,-35.5072,26.77,77,97,4.41,BR,1738098951
175,el hadjira,32.6134,5.5126,19.14,37,33,3.63,DZ,1738098952
176,al mawsil al jadidah,36.3346,43.0978,10.02,42,0,2.75,IQ,1738098953
177,yuxia,34.0615,108.6291,1.18,62,1,1.66,CN,1738098955
178,sisimiut,66.9395,-53.6735,-9.17,73,100,5.32,GL,1738098956
179,luanco,43.6152,-5.7934,11.12,67,96,3.58,ES,1738098957
180,oltinko'l,40.8011,72.1634,3.2,44,100,1.2,UZ,1738098958
181,downpatrick,54.3263,-5.7035,5.84,89,36,7.02,GB,1738098959
182,la'ie,21.6477,-157.9253,25.03,55,99,2.24,US,1738098960
183,broken hill,-31.95,141.4333,16.19,53,0,8.09,AU,1738098961
184,thanh pho uong bi,21.0333,106.7833,12.99,40,94,1.0,VN,1738098962
185,nuuk,64.1835,-51.7216,-4.66,50,20,8.23,GL,1738098963
186,yaren,-0.5472,166.916,27.28,72,100,7.37,NR,1738098964
187,iquique,-20.2208,-70.1431,21.77,70,84,1.44,CL,1738098965
188,vinita,36.6387,-95.1541,12.6,41,4,5.92,US,1738098870
189,lerwick,60.1545,-1.1494,7.16,89,94,5.89,GB,1738098969
190,howrah,22.5892,88.3103,18.0,88,20,0.0,IN,1738098970
191,dzhalagash,45.0833,64.6667,-6.73,85,6,2.1,KZ,1738098971
192,chonchi,-42.6128,-73.8092,19.3,50,97,0.81,CL,1738098972
193,lamarque,-39.423,-65.7021,35.67,17,0,7.16,AR,1738098973
194,luganville,-15.5333,167.1667,27.48,82,99,1.2,VU,1738098974
195,sumter,28.7086,-82.0831,23.3,60,94,1.79,US,1738098975
196,coquimbo,-29.9533,-71.3436,19.85,69,20,6.17,CL,1738098976
